id,date,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual
30,2011-01-31,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42
31,2011-02-01,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47
32,2011-02-02,0,3,1,2,0.26,0.254417,0.775417,0.264308,72
33,2011-02-03,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61
34,2011-02-04,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88
35,2011-02-05,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100
36,2011-02-06,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354
37,2011-02-07,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120
38,2011-02-08,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64
39,2011-02-09,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53
40,2011-02-10,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47
41,2011-02-11,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149
42,2011-02-12,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288
43,2011-02-13,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397
44,2011-02-14,0,1,1,1,0.415,0.39835,0.375833,0.417908,208
45,2011-02-15,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140
46,2011-02-16,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218
47,2011-02-17,0,4,1,1,0.435833,0.428658,0.505,0.230104,259
48,2011-02-18,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579
49,2011-02-19,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532
50,2011-02-20,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639
51,2011-02-21,1,1,0,2,0.303333,0.284075,0.605,0.307846,195
52,2011-02-22,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74
53,2011-02-23,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139
54,2011-02-24,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100
55,2011-02-25,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120
56,2011-02-26,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424
57,2011-02-27,0,0,0,1,0.343478,0.351109,0.68,0.125248,694
58,2011-02-28,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81
59,2011-03-01,0,2,1,1,0.266667,0.263879,0.535,0.216425,137
60,2011-03-02,0,3,1,1,0.335,0.320071,0.449583,0.307833,231
61,2011-03-03,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123
62,2011-03-04,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214
63,2011-03-05,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640
64,2011-03-06,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114
65,2011-03-07,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244
66,2011-03-08,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316
67,2011-03-09,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191
68,2011-03-10,0,4,1,3,0.389091,0.385668,0.0,0.261877,46
69,2011-03-11,0,5,1,2,0.316522,0.305,0.649565,0.23297,247
70,2011-03-12,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724
71,2011-03-13,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982
72,2011-03-14,0,1,1,1,0.325217,0.332,0.496957,0.136926,359
73,2011-03-15,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289
74,2011-03-16,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321
75,2011-03-17,0,4,1,1,0.415,0.410333,0.602917,0.209579,424
76,2011-03-18,0,5,1,1,0.54,0.527009,0.525217,0.231017,884
77,2011-03-19,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424
78,2011-03-20,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047
79,2011-03-21,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401
80,2011-03-22,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460
81,2011-03-23,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203
82,2011-03-24,0,4,1,2,0.285,0.270833,0.805833,0.243787,166
83,2011-03-25,0,5,1,1,0.264167,0.256312,0.495,0.230725,300
84,2011-03-26,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981
85,2011-03-27,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472
86,2011-03-28,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222
87,2011-03-29,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317
88,2011-03-30,0,3,1,2,0.3,0.29735,0.646667,0.172888,168
89,2011-03-31,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179
90,2011-04-01,0,5,1,2,0.3,0.283454,0.68625,0.258708,307
91,2011-04-02,0,6,0,2,0.315,0.315637,0.65375,0.197146,898
92,2011-04-03,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651
93,2011-04-04,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734
94,2011-04-05,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167
95,2011-04-06,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413
96,2011-04-07,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571
97,2011-04-08,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172
98,2011-04-09,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879
99,2011-04-10,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188
100,2011-04-11,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855
101,2011-04-12,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257
102,2011-04-13,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209
103,2011-04-14,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529
104,2011-04-15,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642
105,2011-04-16,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121
106,2011-04-17,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558
107,2011-04-18,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669
108,2011-04-19,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409
109,2011-04-20,0,3,1,1,0.595,0.564392,0.614167,0.241925,613
110,2011-04-21,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745
111,2011-04-22,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177
112,2011-04-23,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462
113,2011-04-24,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710
114,2011-04-25,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773
115,2011-04-26,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678
116,2011-04-27,0,3,1,2,0.62,0.575142,0.835417,0.3122,547
117,2011-04-28,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569
118,2011-04-29,0,5,1,1,0.51,0.497463,0.457083,0.240063,878
119,2011-04-30,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965
120,2011-05-01,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138
121,2011-05-02,0,1,1,2,0.549167,0.532833,0.73,0.183454,847
122,2011-05-03,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603
123,2011-05-04,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255
124,2011-05-05,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614
125,2011-05-06,0,5,1,1,0.479167,0.474117,0.59,0.228246,894
126,2011-05-07,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612
127,2011-05-08,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401
128,2011-05-09,0,1,1,1,0.5325,0.525246,0.58875,0.176,664
129,2011-05-10,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694
130,2011-05-11,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550
131,2011-05-12,0,4,1,1,0.535,0.523363,0.7475,0.189667,695
132,2011-05-13,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692
133,2011-05-14,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902
134,2011-05-15,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582
135,2011-05-16,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773
136,2011-05-17,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678
137,2011-05-18,0,3,1,2,0.55,0.527158,0.87,0.201492,536
138,2011-05-19,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735
139,2011-05-20,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909
140,2011-05-21,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258
141,2011-05-22,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576
142,2011-05-23,0,1,1,2,0.631667,0.590296,0.81,0.233842,836
143,2011-05-24,0,2,1,2,0.66,0.604813,0.740833,0.207092,659
144,2011-05-25,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740
145,2011-05-26,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758
146,2011-05-27,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871
147,2011-05-28,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001
148,2011-05-29,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355
149,2011-05-30,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549
150,2011-05-31,0,2,1,1,0.775,0.725383,0.636667,0.111329,673
151,2011-06-01,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513
152,2011-06-02,0,4,1,1,0.715,0.643942,0.305,0.292287,736
153,2011-06-03,0,5,1,1,0.62,0.587133,0.354167,0.253121,898
154,2011-06-04,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869
155,2011-06-05,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685
156,2011-06-06,0,1,1,1,0.678333,0.621858,0.6,0.121896,673
157,2011-06-07,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763
158,2011-06-08,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676
159,2011-06-09,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563
160,2011-06-10,0,5,1,1,0.755,0.703292,0.605,0.140554,815
161,2011-06-11,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729
162,2011-06-12,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467
163,2011-06-13,0,1,1,1,0.635,0.601654,0.494583,0.30535,863
164,2011-06-14,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727
165,2011-06-15,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769
166,2011-06-16,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545
167,2011-06-17,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863
168,2011-06-18,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807
169,2011-06-19,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639
170,2011-06-20,0,1,1,2,0.635,0.595346,0.74625,0.155475,699
171,2011-06-21,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774
172,2011-06-22,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661
173,2011-06-23,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746
174,2011-06-24,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969
175,2011-06-25,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782
176,2011-06-26,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920
177,2011-06-27,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854
178,2011-06-28,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732
179,2011-06-29,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848
180,2011-06-30,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027
181,2011-07-01,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246
182,2011-07-02,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204
183,2011-07-03,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282
184,2011-07-04,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065
185,2011-07-05,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031
186,2011-07-06,0,3,1,1,0.72,0.685633,0.743333,0.149883,784
187,2011-07-07,0,4,1,1,0.75,0.686871,0.65125,0.1592,754
188,2011-07-08,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692
189,2011-07-09,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988
190,2011-07-10,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743
191,2011-07-11,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723
192,2011-07-12,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662
193,2011-07-13,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748
194,2011-07-14,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888
195,2011-07-15,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318
196,2011-07-16,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418
197,2011-07-17,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006
198,2011-07-18,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841
199,2011-07-19,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752
200,2011-07-20,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644
201,2011-07-21,0,4,1,2,0.815,0.826371,0.69125,0.222021,632
202,2011-07-22,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562
203,2011-07-23,0,6,0,1,0.849167,0.804287,0.5,0.131221,987
204,2011-07-24,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050
205,2011-07-25,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568
206,2011-07-26,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750
207,2011-07-27,0,3,1,1,0.775,0.690667,0.402917,0.183463,755
208,2011-07-28,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606
209,2011-07-29,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670
210,2011-07-30,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559
211,2011-07-31,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524
212,2011-08-01,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729
213,2011-08-02,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801
214,2011-08-03,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467
215,2011-08-04,0,4,1,2,0.71,0.664788,0.7575,0.19715,799
216,2011-08-05,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023
217,2011-08-06,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521
218,2011-08-07,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298
219,2011-08-08,0,1,1,1,0.765,0.703283,0.592083,0.192175,846
220,2011-08-09,0,2,1,1,0.775,0.724121,0.570417,0.151121,907
221,2011-08-10,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884
222,2011-08-11,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812
223,2011-08-12,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051
224,2011-08-13,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504
225,2011-08-14,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338
226,2011-08-15,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775
227,2011-08-16,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721
228,2011-08-17,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668
229,2011-08-18,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639
230,2011-08-19,0,5,1,2,0.685,0.633221,0.722917,0.139308,797
231,2011-08-20,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914
232,2011-08-21,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249
233,2011-08-22,0,1,1,1,0.691667,0.638254,0.47,0.27675,833
234,2011-08-23,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281
235,2011-08-24,0,3,1,1,0.673333,0.630692,0.605,0.253108,949
236,2011-08-25,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435
237,2011-08-26,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768
238,2011-08-27,0,6,0,2,0.68,0.635556,0.85,0.375617,226
239,2011-08-28,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415
240,2011-08-29,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729
241,2011-08-30,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775
242,2011-08-31,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688
243,2011-09-01,0,4,1,1,0.655,0.614921,0.639167,0.141796,783
244,2011-09-02,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875
245,2011-09-03,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935
246,2011-09-04,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521
247,2011-09-05,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236
248,2011-09-06,0,2,1,3,0.54,0.5152,0.886957,0.343943,204
249,2011-09-07,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118
250,2011-09-08,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153
251,2011-09-09,0,5,1,2,0.65,0.578946,0.897917,0.124379,417
252,2011-09-10,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750
253,2011-09-11,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633
254,2011-09-12,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690
255,2011-09-13,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701
256,2011-09-14,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647
257,2011-09-15,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428
258,2011-09-16,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742
259,2011-09-17,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434
260,2011-09-18,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353
261,2011-09-19,0,1,1,2,0.549167,0.529675,0.69,0.151742,691
262,2011-09-20,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438
263,2011-09-21,0,3,1,2,0.595,0.550533,0.9,0.0964042,539
264,2011-09-22,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555
265,2011-09-23,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258
266,2011-09-24,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776
267,2011-09-25,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544
268,2011-09-26,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684
269,2011-09-27,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477
270,2011-09-28,0,3,1,2,0.635,0.575158,0.84875,0.148629,480
271,2011-09-29,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653
272,2011-09-30,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830
273,2011-10-01,0,6,0,2,0.41,0.412863,0.75375,0.292296,480
274,2011-10-02,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616
275,2011-10-03,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330
276,2011-10-04,0,2,1,1,0.484167,0.472858,0.71,0.205854,486
277,2011-10-05,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559
278,2011-10-06,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639
279,2011-10-07,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949
280,2011-10-08,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235
281,2011-10-09,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397
282,2011-10-10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514
283,2011-10-11,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667
284,2011-10-12,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217
285,2011-10-13,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290
286,2011-10-14,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529
287,2011-10-15,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899
288,2011-10-16,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748
289,2011-10-17,0,1,1,1,0.534167,0.510725,0.579583,0.175379,713
290,2011-10-18,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637
291,2011-10-19,0,3,1,3,0.541739,0.513848,0.895217,0.243339,254
292,2011-10-20,0,4,1,1,0.475833,0.466525,0.63625,0.422275,471
293,2011-10-21,0,5,1,1,0.4275,0.423596,0.574167,0.221396,676
294,2011-10-22,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,1499
295,2011-10-23,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,1619
296,2011-10-24,0,1,1,1,0.463333,0.457067,0.772083,0.118792,699
297,2011-10-25,0,2,1,1,0.471667,0.463375,0.622917,0.166658,695
298,2011-10-26,0,3,1,2,0.484167,0.472846,0.720417,0.148642,404
299,2011-10-27,0,4,1,2,0.47,0.457046,0.812917,0.197763,240
300,2011-10-28,0,5,1,2,0.330833,0.318812,0.585833,0.229479,456
301,2011-10-29,0,6,0,3,0.254167,0.227913,0.8825,0.351371,57
302,2011-10-30,0,0,0,1,0.319167,0.321329,0.62375,0.176617,885
303,2011-10-31,0,1,1,1,0.34,0.356063,0.703333,0.10635,362
304,2011-11-01,0,2,1,1,0.400833,0.397088,0.68375,0.135571,410
305,2011-11-02,0,3,1,1,0.3775,0.390133,0.71875,0.0820917,370
306,2011-11-03,0,4,1,1,0.408333,0.405921,0.702083,0.136817,318
307,2011-11-04,0,5,1,2,0.403333,0.403392,0.6225,0.271779,470
308,2011-11-05,0,6,0,1,0.326667,0.323854,0.519167,0.189062,1156
309,2011-11-06,0,0,0,1,0.348333,0.362358,0.734583,0.0920542,952
310,2011-11-07,0,1,1,1,0.395,0.400871,0.75875,0.057225,373
311,2011-11-08,0,2,1,1,0.408333,0.412246,0.721667,0.0690375,376
312,2011-11-09,0,3,1,1,0.4,0.409079,0.758333,0.0621958,305
313,2011-11-10,0,4,1,2,0.38,0.373721,0.813333,0.189067,190
314,2011-11-11,1,5,0,1,0.324167,0.306817,0.44625,0.314675,440
315,2011-11-12,0,6,0,1,0.356667,0.357942,0.552917,0.212062,1275
316,2011-11-13,0,0,0,1,0.440833,0.43055,0.458333,0.281721,1004
317,2011-11-14,0,1,1,1,0.53,0.524612,0.587083,0.306596,595
318,2011-11-15,0,2,1,2,0.53,0.507579,0.68875,0.199633,449
319,2011-11-16,0,3,1,3,0.456667,0.451988,0.93,0.136829,145
320,2011-11-17,0,4,1,2,0.341667,0.323221,0.575833,0.305362,139
321,2011-11-18,0,5,1,1,0.274167,0.272721,0.41,0.168533,245
322,2011-11-19,0,6,0,1,0.329167,0.324483,0.502083,0.224496,943
323,2011-11-20,0,0,0,2,0.463333,0.457058,0.684583,0.18595,787
324,2011-11-21,0,1,1,3,0.4475,0.445062,0.91,0.138054,220
325,2011-11-22,0,2,1,3,0.416667,0.421696,0.9625,0.118792,69
326,2011-11-23,0,3,1,2,0.440833,0.430537,0.757917,0.335825,112
327,2011-11-24,1,4,0,1,0.373333,0.372471,0.549167,0.167304,560
328,2011-11-25,0,5,1,1,0.375,0.380671,0.64375,0.0988958,1095
329,2011-11-26,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,1249
330,2011-11-27,0,0,0,1,0.459167,0.4558,0.698333,0.208954,810
331,2011-11-28,0,1,1,1,0.503478,0.490122,0.743043,0.142122,253
332,2011-11-29,0,2,1,2,0.458333,0.451375,0.830833,0.258092,96
333,2011-11-30,0,3,1,1,0.325,0.311221,0.613333,0.271158,188
334,2011-12-01,0,4,1,1,0.3125,0.305554,0.524583,0.220158,182
335,2011-12-02,0,5,1,1,0.314167,0.331433,0.625833,0.100754,268
336,2011-12-03,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,706
337,2011-12-04,0,0,0,1,0.330833,0.3491,0.775833,0.0839583,634
338,2011-12-05,0,1,1,2,0.385833,0.393925,0.827083,0.0622083,233
339,2011-12-06,0,2,1,3,0.4625,0.4564,0.949583,0.232583,126
340,2011-12-07,0,3,1,3,0.41,0.400246,0.970417,0.266175,50
341,2011-12-08,0,4,1,1,0.265833,0.256938,0.58,0.240058,150
342,2011-12-09,0,5,1,1,0.290833,0.317542,0.695833,0.0827167,261
343,2011-12-10,0,6,0,1,0.275,0.266412,0.5075,0.233221,502
344,2011-12-11,0,0,0,1,0.220833,0.253154,0.49,0.0665417,377
345,2011-12-12,0,1,1,1,0.238333,0.270196,0.670833,0.06345,143
346,2011-12-13,0,2,1,1,0.2825,0.301138,0.59,0.14055,155
347,2011-12-14,0,3,1,2,0.3175,0.338362,0.66375,0.0609583,178
348,2011-12-15,0,4,1,2,0.4225,0.412237,0.634167,0.268042,181
349,2011-12-16,0,5,1,2,0.375,0.359825,0.500417,0.260575,178
350,2011-12-17,0,6,0,2,0.258333,0.249371,0.560833,0.243167,275
351,2011-12-18,0,0,0,1,0.238333,0.245579,0.58625,0.169779,220
352,2011-12-19,0,1,1,1,0.276667,0.280933,0.6375,0.172896,260
353,2011-12-20,0,2,1,2,0.385833,0.396454,0.595417,0.0615708,216
354,2011-12-21,0,3,1,2,0.428333,0.428017,0.858333,0.2214,107
355,2011-12-22,0,4,1,2,0.423333,0.426121,0.7575,0.047275,227
