id,id,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual
112,112,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462
113,113,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710
114,114,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773
115,115,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678
116,116,0,3,1,2,0.62,0.575142,0.835417,0.3122,547
117,117,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569
118,118,0,5,1,1,0.51,0.497463,0.457083,0.240063,878
119,119,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965
120,120,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138
121,121,0,1,1,2,0.549167,0.532833,0.73,0.183454,847
122,122,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603
123,123,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255
124,124,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614
125,125,0,5,1,1,0.479167,0.474117,0.59,0.228246,894
126,126,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612
127,127,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401
128,128,0,1,1,1,0.5325,0.525246,0.58875,0.176,664
129,129,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694
130,130,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550
131,131,0,4,1,1,0.535,0.523363,0.7475,0.189667,695
132,132,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692
133,133,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902
134,134,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582
135,135,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773
136,136,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678
137,137,0,3,1,2,0.55,0.527158,0.87,0.201492,536
138,138,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735
139,139,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909
140,140,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258
141,141,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576
142,142,0,1,1,2,0.631667,0.590296,0.81,0.233842,836
143,143,0,2,1,2,0.66,0.604813,0.740833,0.207092,659
144,144,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740
145,145,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758
146,146,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871
147,147,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001
148,148,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355
149,149,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549
150,150,0,2,1,1,0.775,0.725383,0.636667,0.111329,673
151,151,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513
152,152,0,4,1,1,0.715,0.643942,0.305,0.292287,736
153,153,0,5,1,1,0.62,0.587133,0.354167,0.253121,898
154,154,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869
155,155,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685
156,156,0,1,1,1,0.678333,0.621858,0.6,0.121896,673
157,157,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763
158,158,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676
159,159,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563
160,160,0,5,1,1,0.755,0.703292,0.605,0.140554,815
161,161,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729
162,162,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467
163,163,0,1,1,1,0.635,0.601654,0.494583,0.30535,863
164,164,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727
165,165,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769
166,166,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545
167,167,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863
168,168,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807
169,169,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639
170,170,0,1,1,2,0.635,0.595346,0.74625,0.155475,699
171,171,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774
172,172,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661
173,173,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746
174,174,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969
175,175,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782
176,176,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920
177,177,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854
178,178,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732
179,179,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848
180,180,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027
181,181,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246
182,182,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204
183,183,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282
184,184,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065
185,185,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031
186,186,0,3,1,1,0.72,0.685633,0.743333,0.149883,784
187,187,0,4,1,1,0.75,0.686871,0.65125,0.1592,754
188,188,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692
189,189,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988
190,190,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743
191,191,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723
192,192,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662
193,193,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748
194,194,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888
195,195,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318
196,196,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418
197,197,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006
198,198,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841
199,199,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752
200,200,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644
201,201,0,4,1,2,0.815,0.826371,0.69125,0.222021,632
202,202,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562
203,203,0,6,0,1,0.849167,0.804287,0.5,0.131221,987
204,204,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050
205,205,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568
206,206,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750
207,207,0,3,1,1,0.775,0.690667,0.402917,0.183463,755
208,208,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606
209,209,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670
210,210,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559
211,211,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524
212,212,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729
213,213,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801
214,214,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467
215,215,0,4,1,2,0.71,0.664788,0.7575,0.19715,799
216,216,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023
217,217,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521
218,218,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298
219,219,0,1,1,1,0.765,0.703283,0.592083,0.192175,846
220,220,0,2,1,1,0.775,0.724121,0.570417,0.151121,907
221,221,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884
222,222,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812
223,223,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051
224,224,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504
225,225,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338
226,226,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775
227,227,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721
228,228,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668
229,229,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639
230,230,0,5,1,2,0.685,0.633221,0.722917,0.139308,797
231,231,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914
232,232,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249
233,233,0,1,1,1,0.691667,0.638254,0.47,0.27675,833
234,234,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281
235,235,0,3,1,1,0.673333,0.630692,0.605,0.253108,949
236,236,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435
237,237,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768
238,238,0,6,0,2,0.68,0.635556,0.85,0.375617,226
239,239,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415
240,240,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729
241,241,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775
242,242,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688
243,243,0,4,1,1,0.655,0.614921,0.639167,0.141796,783
244,244,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875
245,245,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935
246,246,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521
247,247,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236
248,248,0,2,1,3,0.54,0.5152,0.886957,0.343943,204
249,249,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118
250,250,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153
251,251,0,5,1,2,0.65,0.578946,0.897917,0.124379,417
252,252,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750
253,253,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633
254,254,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690
255,255,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701
256,256,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647
257,257,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428
258,258,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742
259,259,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434
260,260,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353
261,261,0,1,1,2,0.549167,0.529675,0.69,0.151742,691
262,262,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438
263,263,0,3,1,2,0.595,0.550533,0.9,0.0964042,539
264,264,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555
265,265,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258
266,266,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776
267,267,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544
268,268,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684
269,269,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477
270,270,0,3,1,2,0.635,0.575158,0.84875,0.148629,480
271,271,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653
272,272,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830
273,273,0,6,0,2,0.41,0.412863,0.75375,0.292296,480
274,274,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616
275,275,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330
276,276,0,2,1,1,0.484167,0.472858,0.71,0.205854,486
277,277,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559
278,278,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639
279,279,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949
280,280,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235
281,281,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397
282,282,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514
283,283,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667
284,284,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217
285,285,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290
286,286,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529
287,287,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899
288,288,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748
289,289,0,1,1,1,0.534167,0.510725,0.579583,0.175379,713
290,290,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637
291,291,0,3,1,3,0.541739,0.513848,0.895217,0.243339,254
292,292,0,4,1,1,0.475833,0.466525,0.63625,0.422275,471
293,293,0,5,1,1,0.4275,0.423596,0.574167,0.221396,676
294,294,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,1499
295,295,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,1619
296,296,0,1,1,1,0.463333,0.457067,0.772083,0.118792,699
297,297,0,2,1,1,0.471667,0.463375,0.622917,0.166658,695
298,298,0,3,1,2,0.484167,0.472846,0.720417,0.148642,404
299,299,0,4,1,2,0.47,0.457046,0.812917,0.197763,240
300,300,0,5,1,2,0.330833,0.318812,0.585833,0.229479,456
301,301,0,6,0,3,0.254167,0.227913,0.8825,0.351371,57
302,302,0,0,0,1,0.319167,0.321329,0.62375,0.176617,885
303,303,0,1,1,1,0.34,0.356063,0.703333,0.10635,362
304,304,0,2,1,1,0.400833,0.397088,0.68375,0.135571,410
305,305,0,3,1,1,0.3775,0.390133,0.71875,0.0820917,370
306,306,0,4,1,1,0.408333,0.405921,0.702083,0.136817,318
307,307,0,5,1,2,0.403333,0.403392,0.6225,0.271779,470
308,308,0,6,0,1,0.326667,0.323854,0.519167,0.189062,1156
309,309,0,0,0,1,0.348333,0.362358,0.734583,0.0920542,952
310,310,0,1,1,1,0.395,0.400871,0.75875,0.057225,373
311,311,0,2,1,1,0.408333,0.412246,0.721667,0.0690375,376
312,312,0,3,1,1,0.4,0.409079,0.758333,0.0621958,305
313,313,0,4,1,2,0.38,0.373721,0.813333,0.189067,190
314,314,1,5,0,1,0.324167,0.306817,0.44625,0.314675,440
315,315,0,6,0,1,0.356667,0.357942,0.552917,0.212062,1275
316,316,0,0,0,1,0.440833,0.43055,0.458333,0.281721,1004
317,317,0,1,1,1,0.53,0.524612,0.587083,0.306596,595
318,318,0,2,1,2,0.53,0.507579,0.68875,0.199633,449
319,319,0,3,1,3,0.456667,0.451988,0.93,0.136829,145
320,320,0,4,1,2,0.341667,0.323221,0.575833,0.305362,139
321,321,0,5,1,1,0.274167,0.272721,0.41,0.168533,245
322,322,0,6,0,1,0.329167,0.324483,0.502083,0.224496,943
323,323,0,0,0,2,0.463333,0.457058,0.684583,0.18595,787
324,324,0,1,1,3,0.4475,0.445062,0.91,0.138054,220
325,325,0,2,1,3,0.416667,0.421696,0.9625,0.118792,69
326,326,0,3,1,2,0.440833,0.430537,0.757917,0.335825,112
327,327,1,4,0,1,0.373333,0.372471,0.549167,0.167304,560
328,328,0,5,1,1,0.375,0.380671,0.64375,0.0988958,1095
329,329,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,1249
330,330,0,0,0,1,0.459167,0.4558,0.698333,0.208954,810
331,331,0,1,1,1,0.503478,0.490122,0.743043,0.142122,253
332,332,0,2,1,2,0.458333,0.451375,0.830833,0.258092,96
333,333,0,3,1,1,0.325,0.311221,0.613333,0.271158,188
334,334,0,4,1,1,0.3125,0.305554,0.524583,0.220158,182
335,335,0,5,1,1,0.314167,0.331433,0.625833,0.100754,268
336,336,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,706
337,337,0,0,0,1,0.330833,0.3491,0.775833,0.0839583,634
338,338,0,1,1,2,0.385833,0.393925,0.827083,0.0622083,233
339,339,0,2,1,3,0.4625,0.4564,0.949583,0.232583,126
340,340,0,3,1,3,0.41,0.400246,0.970417,0.266175,50
341,341,0,4,1,1,0.265833,0.256938,0.58,0.240058,150
342,342,0,5,1,1,0.290833,0.317542,0.695833,0.0827167,261
343,343,0,6,0,1,0.275,0.266412,0.5075,0.233221,502
344,344,0,0,0,1,0.220833,0.253154,0.49,0.0665417,377
345,345,0,1,1,1,0.238333,0.270196,0.670833,0.06345,143
346,346,0,2,1,1,0.2825,0.301138,0.59,0.14055,155
347,347,0,3,1,2,0.3175,0.338362,0.66375,0.0609583,178
348,348,0,4,1,2,0.4225,0.412237,0.634167,0.268042,181
349,349,0,5,1,2,0.375,0.359825,0.500417,0.260575,178
350,350,0,6,0,2,0.258333,0.249371,0.560833,0.243167,275
351,351,0,0,0,1,0.238333,0.245579,0.58625,0.169779,220
352,352,0,1,1,1,0.276667,0.280933,0.6375,0.172896,260
353,353,0,2,1,2,0.385833,0.396454,0.595417,0.0615708,216
354,354,0,3,1,2,0.428333,0.428017,0.858333,0.2214,107
355,355,0,4,1,2,0.423333,0.426121,0.7575,0.047275,227
356,356,0,5,1,1,0.373333,0.377513,0.68625,0.274246,163
357,357,0,6,0,1,0.3025,0.299242,0.5425,0.190304,155
358,358,0,0,0,1,0.274783,0.279961,0.681304,0.155091,303
359,359,1,1,0,1,0.321739,0.315535,0.506957,0.239465,430
360,360,0,2,1,2,0.325,0.327633,0.7625,0.18845,103
361,361,0,3,1,1,0.29913,0.279974,0.503913,0.293961,255
362,362,0,4,1,1,0.248333,0.263892,0.574167,0.119412,254
363,363,0,5,1,1,0.311667,0.318812,0.636667,0.134337,491
364,364,0,6,0,1,0.41,0.414121,0.615833,0.220154,665
365,365,0,0,0,1,0.37,0.375621,0.6925,0.192167,686
366,366,1,1,0,1,0.273043,0.252304,0.381304,0.329665,244
367,367,0,2,1,1,0.15,0.126275,0.44125,0.365671,89
368,368,0,3,1,2,0.1075,0.119337,0.414583,0.1847,95
369,369,0,4,1,1,0.265833,0.278412,0.524167,0.129987,140
370,370,0,5,1,1,0.334167,0.340267,0.542083,0.167908,307
371,371,0,6,0,1,0.393333,0.390779,0.531667,0.174758,1070
372,372,0,0,0,1,0.3375,0.340258,0.465,0.191542,599
373,373,0,1,1,2,0.224167,0.247479,0.701667,0.0989,106
374,374,0,2,1,1,0.308696,0.318826,0.646522,0.187552,173
375,375,0,3,1,2,0.274167,0.282821,0.8475,0.131221,92
376,376,0,4,1,2,0.3825,0.381938,0.802917,0.180967,269
377,377,0,5,1,1,0.274167,0.249362,0.5075,0.378108,174
378,378,0,6,0,1,0.18,0.183087,0.4575,0.187183,333
379,379,0,0,0,1,0.166667,0.161625,0.419167,0.251258,284
380,380,1,1,0,1,0.19,0.190663,0.5225,0.231358,217
381,381,0,2,1,2,0.373043,0.364278,0.716087,0.34913,127
382,382,0,3,1,1,0.303333,0.275254,0.443333,0.415429,109
383,383,0,4,1,1,0.19,0.190038,0.4975,0.220158,130
384,384,0,5,1,2,0.2175,0.220958,0.45,0.20275,115
385,385,0,6,0,2,0.173333,0.174875,0.83125,0.222642,67
386,386,0,0,0,2,0.1625,0.16225,0.79625,0.199638,196
387,387,0,1,1,2,0.218333,0.243058,0.91125,0.110708,145
388,388,0,2,1,1,0.3425,0.349108,0.835833,0.123767,439
389,389,0,3,1,1,0.294167,0.294821,0.64375,0.161071,467
390,390,0,4,1,2,0.341667,0.35605,0.769583,0.0733958,244
391,391,0,5,1,2,0.425,0.415383,0.74125,0.342667,269
392,392,0,6,0,1,0.315833,0.326379,0.543333,0.210829,775
393,393,0,0,0,1,0.2825,0.272721,0.31125,0.24005,558
394,394,0,1,1,1,0.269167,0.262625,0.400833,0.215792,126
395,395,0,2,1,1,0.39,0.381317,0.416667,0.261817,324
396,396,0,3,1,1,0.469167,0.466538,0.507917,0.189067,304
397,397,0,4,1,2,0.399167,0.398971,0.672917,0.187187,190
398,398,0,5,1,1,0.313333,0.309346,0.526667,0.178496,310
399,399,0,6,0,2,0.264167,0.272725,0.779583,0.121896,384
400,400,0,0,0,2,0.265833,0.264521,0.687917,0.175996,318
401,401,0,1,1,1,0.282609,0.296426,0.622174,0.1538,206
402,402,0,2,1,1,0.354167,0.361104,0.49625,0.147379,199
403,403,0,3,1,2,0.256667,0.266421,0.722917,0.133721,109
404,404,0,4,1,1,0.265,0.261988,0.562083,0.194037,163
405,405,0,5,1,2,0.280833,0.293558,0.54,0.116929,227
406,406,0,6,0,3,0.224167,0.210867,0.73125,0.289796,192
407,407,0,0,0,1,0.1275,0.101658,0.464583,0.409212,73
408,408,0,1,1,1,0.2225,0.227913,0.41125,0.167283,94
